Date,Close,High,Low,Open,DailyReturn,Target
11/11/99,1.042,1.045,1.0395,1.0444,-0.2303262955854086,-0.97877701327648
11/12/99,1.0319,1.0415,1.028,1.042,-0.97877701327648,-0.019385480275271684
11/15/99,1.0317,1.0345,1.0297,1.0319,-0.019385480275271684,0.07748184019369607
11/16/99,1.0325,1.0355,1.0299,1.0317,0.07748184019369607,0.7879312001537412
11/17/99,1.0407,1.044,1.03,1.0325,0.7879312001537412,-1.1075488195861123
11/18/99,1.0293,1.0435,1.0263,1.0407,-1.1075488195861123,0.1648884578079353
11/19/99,1.031,1.0333,1.0246,1.0293,0.1648884578079353,0.04847309743094202
11/22/99,1.0315,1.0341,1.029,1.031,0.04847309743094202,-0.42839061435110326
11/23/99,1.0271,1.0335,1.0258,1.0315,-0.42839061435110326,-0.7948969578017662
11/24/99,1.019,1.028,1.0156,1.0271,-0.7948969578017662,0
11/25/99,1.019,1.021,1.0134,1.019,0,-0.2558048012593404
11/26/99,1.0164,1.0195,1.0076,1.019,-0.2558048012593404,-0.6037810551321384
11/29/99,1.0103,1.02,1.0037,1.0164,-0.6037810551321384,-0.16855046599246826
11/30/99,1.0086,1.0145,1.0045,1.0103,-0.16855046599246826,0.009913750371764547
12/1/99,1.0087,1.0125,1.0047,1.0086,0.009913750371764547,-0.6084181129064427
12/2/99,1.0026,1.0125,1,1.0087,-0.6084181129064427,-0.019952114924179767
12/3/99,1.0024,1.004,0.9995,1.0026,-0.019952114924179767,1.9561815336463242
12/6/99,1.0224,1.0267,1,1.0024,1.9561815336463242,0.2244559383234087
12/7/99,1.0247,1.0295,1.0198,1.0224,0.2244559383234087,0.26279929920188305
12/8/99,1.0274,1.0285,1.0223,1.0247,0.26279929920188305,-0.5972779790463129
12/9/99,1.0213,1.0285,1.0157,1.0274,-0.5972779790463129,-0.9189723320158188
12/10/99,1.012,1.0225,1.0113,1.0213,-0.9189723320158188,0.1972386587771205
12/13/99,1.014,1.016,1.0107,1.012,0.1972386587771205,-0.8453505718547938
12/14/99,1.0055,1.0145,1.0028,1.014,-0.8453505718547938,0.1489572989076301
12/15/99,1.007,1.0089,1.0014,1.0055,0.1489572989076301,0.9540670797678806
12/16/99,1.0167,1.019,1.0065,1.007,0.9540670797678806,-0.8630952380952313
12/17/99,1.008,1.0245,1.006,1.0167,-0.8630952380952313,0.3558718861210011
12/20/99,1.0116,1.014,1.004,1.008,0.3558718861210011,-0.2974419988102433
12/21/99,1.0086,1.015,1.0075,1.0116,-0.2974419988102433,0.019825535289450632
12/22/99,1.0088,1.011,1.006,1.0086,0.019825535289450632,0.5814526461022979
12/23/99,1.0147,1.0179,1.007,1.0088,0.5814526461022979,-0.16781836130306366
12/24/99,1.013,1.016,1.0115,1.0147,-0.16781836130306366,-0.039502271380600036
